id,country,province,name,postal_code,user_id
62,Democratic Republic of the Congo,Lisala,49 Melrose Circle,,7
63,Indonesia,Suren,85642 Welch Court,,26
64,Germany,Hamburg,2649 Eggendart Center,20359,6
65,Indonesia,Sukamulya,5213 Ludington Alley,,50
66,Indonesia,Enrekang,05 Sauthoff Alley,,20
67,Poland,Mirów,4 Sauthoff Parkway,53-402,23
68,Kyrgyzstan,Kara Suu,18145 Pankratz Park,,29
69,China,Zhangdian,404 Helena Alley,,1
70,Indonesia,Kebon,9795 Holy Cross Circle,,31
71,France,Bernay,4436 Michigan Street,27309 CEDEX,21
72,Thailand,Chok Chai,723 Dixon Circle,30190,1
73,Indonesia,Tanggul Wetan,005 Debs Crossing,,4
74,Indonesia,Lunyuk Ode,92177 Westerfield Parkway,,16
75,Costa Rica,Chacarita,1 Fair Oaks Hill,60112,4
76,New Zealand,Paihia,1223 Anniversary Trail,0247,21
77,France,Niort,565 Tony Point,79004 CEDEX,30
78,Sri Lanka,Matara,05742 Manufacturers Trail,81000,36
79,Philippines,Mercedes,2 North Road,6808,1
80,China,Xuancheng,9977 Memorial Alley,,14
81,Afghanistan,Bal Chirāgh,455 Michigan Point,,13
82,China,Xikou,83 Hoepker Way,,3
83,Russia,Leskolovo,4 Coolidge Court,188668,28
84,Moldova,Saharna,4039 Lindbergh Terrace,MD-5431,4
85,Brazil,Lagoa Vermelha,5116 Hermina Place,95300-000,49
86,Turkmenistan,Boldumsaz,03 Leroy Pass,,26
87,Dominican Republic,Cevicos,23158 Tony Street,10702,33
88,Argentina,Esquina,3376 Maryland Drive,5131,25
89,Liberia,Kakata,77 Eagle Crest Crossing,,39
90,Portugal,Alpedrinha,9378 Vahlen Street,6230-060,7
91,Uganda,Ntungamo,67 Express Road,,47
92,China,Xihe,97525 Carpenter Lane,,41
93,Philippines,Idtig,3 Twin Pines Court,1085,28
94,Russia,Rakhmanovo,481 Del Mar Drive,142145,23
95,Indonesia,Mauponggo,7 Leroy Lane,,36
96,Denmark,København,7 Brickson Park Plaza,1440,22
97,Thailand,Kap Choeng,62909 Crownhardt Parkway,57210,45
98,Brazil,Marau,227 Swallow Plaza,99150-000,28
99,Indonesia,Borik,64089 Amoth Hill,,49
100,Philippines,Estancia,21 Schmedeman Road,5017,6
